joint,weld,in,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
JT-5,GW-4,3,0.235,0.245,0.232,0.235,0.248,0.240,0.248,0.246,0.248,0.237,0.250,0.246
JT-5,GW-4,108,0.240,0.246,0.248,0.232,0.244,0.247,0.244,0.245,0.250,0.241,0.257,0.255
JT-5,GW-4,180,0.249,0.256,0.255,0.237,0.250,0.254,0.246,0.254,0.242,0.246,0.255,0.249
JT-7,GW-6,24,0.235,0.249,0.250,0.242,0.245,0.242,0.227,0.237,0.237,0.241,0.245,0.232
JT-7,GW-6,180,0.251,0.254,0.238,0.238,0.242,0.233,0.239,0.241,0.241,0.243,0.240,0.241
JT-7,GW-6,356.4,0.241,0.253,0.258,0.244,0.247,0.243,0.238,0.243,0.238,0.245,0.250,0.237
JT-8,GW-7,7.2,0.235,0.248,0.250,0.241,0.243,0.239,0.225,0.250,0.249,0.250,0.254,0.239
JT-8,GW-7,84,0.238,0.252,0.239,0.242,0.246,0.230,0.231,0.248,0.238,0.245,0.239,0.243
JT-8,GW-7,156,0.234,0.248,0.234,0.245,0.248,0.227,0.235,0.240,0.237,0.240,0.231,0.237
SFL 175.5,NA,4,0.239,0.246,0.255,0.249,0.244,0.252,0.249,0.232,0.232,0.220,0.218,0.236
JT-1,GW-1,6,0.250,0.247,0.243,0.241,0.235,0.236,0.243,0.247,0.243,0.245,0.239,0.250
JT-1,GW-1,48,0.258,0.257,0.247,0.253,0.243,0.242,0.252,0.251,0.252,0.252,0.244,0.251
JT-1,GW-1,84,0.267,0.268,0.276,0.269,0.256,0.246,0.264,0.260,0.258,0.260,0.256,0.262
JT-2,GW-3,6,0.249,0.246,0.245,0.236,0.240,0.239,0.243,0.232,0.239,0.235,0.242,0.239
JT-2,GW-3,30,0.247,0.246,0.242,0.239,0.240,0.232,0.236,0.240,0.228,0.235,0.243,0.242
JT-2,GW-3,60,0.249,0.251,0.245,0.236,0.248,0.238,0.238,0.243,0.232,0.242,0.247,0.243
